Id,Comment
@imself_made,아직 1년도 안됬는데 마스크 안쓴게 부자연스럽고 순간적으로 거부감이듬 진짜로 지금이 사태가 얼마나 우리 일상에 뿌리밖았는지 깨닳게 되더라  그래서 진짜 제발 이번 1주일간 싸돌아다니지말고 진짜 우리나라 빨리 위기에서 벗어나도록 다같이 노력했으면 합니다 ㅠㅠ
@user-wz3dx4wl4r,아... 진짜 너무 좋아....
@user-fk3fc6df6u,"이 영상은 주기적으로 자존감 떨ㅇㅓ지고 우울할 때마다 와서 봐야돼,,,,,,,,,음악은 사람을 살게 해"
@two_east,정말 대단한게 북소리 정도는 mr로 깔아둘만 한데 끝까지 라이브 고집해서 이정도로 웅장하게 들리는 듯하다
@user-xr6pd6wl7t,저 형 얼굴표정도 웃을때 완전 찐텐으로 신나고 즐거워보여서 그 기운이 전달돼서 좋아
@ansgust,말그대로 가슴이 웅장해지는 노래
@redmanandpigs,명곡은 지금도 멈추지 않는다
@user-tp9hg5kg7y,진짜 함성소리 섞은거로 리믹스 멜론에 만들어줘야함
@user-uk1xw9ce3s,예루살렘의 종소리와 로마 기병대의 목소리가 들리는 듯 하다는 가사는 대체 어떻게 쓰는거지
@user-ec2ko1jw2v,크 콜플 뜨기전부터 들었는데 최정상에있는모습보니까 먼가 뭉클하다...
@user-uk7dz8bv9h,진짜 언제봐도 개쩔음..
@thinkbunch,가사가 진짜 영화한편이야...나중에 viva la vida제목으로 보헤미안 랩소디처럼 콜드플레이를 주인공으로 영화제작될것같음
@user-fo7vz1vv4m,3:13 이 부분은 언제들어도 가슴을 웅장하게 해준다
@10to92,가사 너무 좋아~~
@fuckinawesomeable,해석 너무좋아요 직역보단 영어로 느껴지는 느낌 그대로라서 좋아요
@cake3676,다음생엔 서양에서도 한번 태어나보고싶다.. 이 영상보면서 독서실에 쳐앉아있으니 현타 ㅈㄴ오네ㅋㅋㅋㅋ
@user-su5zz7fb6u,번역은 영어 실력보다는 한글 실력이 더 중요한 것 같기도 하다.. 시적인 아름다운 가사에 가슴 벅차는 멜로디에 자꾸 온몸이 찌릿찌릿하네
@QUARK.,내가 만든노래가 저렇게 많은사람들에게 희망을 주고 저사람들이 내노래를 좋아해주고 그게 시너지가 되어 하나의 웅장한 무대가 만들어 진다생각하니까 진짜 대박이겠다
@LaynaTV-xk2nc,저 노래 너무 좋아 ㅠㅠㅠㅠㅠㅠ
@ya-gz2he,콜드플레이에서 한국공연 한번 더 진행하고 싶댔는데.. 현대카드측에서는 한번 공연한 팀은 자기들은 진행 안한다고... 얼마전 기사에서 봤네요.ㅜㅜ
@jasonjung1396,번역은 이렇게 하는거구나..
@romijml1580,최고의 밴드 마약도 안하며 가치관이 건전한 이 밴드를 사랑합니다
@toc7325,세상은 여전히 변함없이 아름답다. 예전에도 지금에 이르러서도 그래왔듯
@Dear_Name-,내가 이곡때문에 coldplay에 입덕했던 계기였지 거진 6년팬이지만 이곡은 들을때마다 새로움 전주내내 내 존재하지도 않는 해외여행 나가서 대초원 바라보던 추억이 생기는 느낌
@user-zs1ox5st8z,3:17 이때 표정이 너무 뭉클하다.. 진짜 행복해보여서..
